"Document ID","Document Title",Categories,"Number of Views"
13248,"Safe Patient Handling &#8211; Preventing Musculoskeletal Disorders in Nursing Homes OSHA Fact Sheet","1. Fact Sheets, General OSHA Information, OSHA, Safety",1
23639,"Fall Risk Factors Checklist","CDC, Regulatory Agencies, STEADI",1
37176,"Chapter 2: Administrative Requirements","CMS, PACE Manual, Regulatory Agencies",1
23633,"Older Adult Falls: A Growing Problem That Can Be Prevented","CDC, Regulatory Agencies, STEADI",1
23628,"Risk Factors for Falls","CDC, Regulatory Agencies, STEADI",1
23635,"Integrating Fall Prevention Into Practice","CDC, Regulatory Agencies, STEADI",1
510491,"Workplace Mental Health: OSHA Fact Sheet and Resource List","1. Fact Sheets, General OSHA Information, OSHA, Safety",1
450960,"List N: EPA&#8217;s Registered Disinfectants for Coronavirus (COVID-19)","CDC, Coronavirus, EPA, Registered Disinfectants, Regulatory Agencies, Safety",1
39687,"Module 08: Medical Treatments of Dementia Pre-Post Test (Questions with Answer Key)","Competencies and Skills, Dementia, Staff Development, Tools and Templates",1
38867,"Protecting Workers Who Use Cleaning Chemicals Fact Sheet (English and Spanish)","1. Fact Sheets, Hazard Communication, Asbestos, Mold and Lead, OSHA, Safety",1
505105,"FY2023 Frequently Cited OSHA Standards: Nursing Care Facilities","5. Miscellaneous, General OSHA Information, OSHA, Safety",1
13339,"Subpart H: Hazardous Materials OSHA Regulations Part 1910","2. Regulations, Hazardous Materials, OSHA, Safety",1
13326,"Hazard Communication Standard Labels Quick Card (English and Spanish)","5. Miscellaneous, Hazard Communication, Asbestos, Mold and Lead, OSHA, Safety",1
13327,"Hazard Communication Safety Data Sheets Quick Card (English and Spanish)","5. Miscellaneous, Hazard Communication, Asbestos, Mold and Lead, OSHA, Safety",1
13329,"Hazard Communication Standard: Safety Data Sheets","5. Miscellaneous, Hazard Communication, Asbestos, Mold and Lead, OSHA, Safety",1
38975,"Need a Lift? Just Ask! &#8211; OSHA Mechanical Lift Poster","5. Miscellaneous, Occupational Health and General Environmental Control, OSHA, Safety",1
13198,"Protect Your Employees with an Exposure Control Plan (Poster)","5. Miscellaneous, Bloodborne Pathogens, OSHA, Safety",1
39648,"Module 02: Diagnosing Dementia","Dementia, Staff Development, Tools and Templates",1
33486,"Pine Cone Bird Feeder Activity Plan","Activities, Activity Plans, Tools and Templates",1
22966,"The Davis-Bacon and Related Acts (DBRA) &#8211; Fact Sheet #66","DOL / Human Resources, Fact Sheets, Regulatory Agencies, Wage and Hour",1
497993,"Opinion Letter Concerning Calculation of Leave Used During a Holiday When an Employee is on FMLA","DOL / Human Resources, Fact Sheets, Family &amp; Medical Leave, Regulatory Agencies, Wage and Hour",1
41423,"FLSA Protections for Employees to Pump Breast Milk at Work &#8211; Fact Sheet #73","DOL / Human Resources, Fact Sheets, Regulatory Agencies, Wage and Hour",1
462250,"The Health Care Industry and Hours Worked &#8211; Fact Sheet #53","DOL / Human Resources, Fact Sheets, Regulatory Agencies, Wage and Hour",1
22971,"Highly Compensated Workers and the Part 541-Exemptions Under the FLSA &#8211; Fact Sheet #17H","DOL / Human Resources, Fact Sheets, Regulatory Agencies, Wage and Hour",1
27818,"F-729 Nurse Aide Registry Verification, Retraining","Appendix PP (F-Tags), Survey and Certification",1
27752,"F-603 Free from Involuntary Seclusion","Appendix PP (F-Tags), Survey and Certification",1
39681,"Module 07: Management of Common Medical Conditions Observed During Middle and Late Stages of Dementia Pre-Post Test (Questions with Answer Key)","Competencies and Skills, Dementia, Staff Development, Tools and Templates",1
40636,"§7304 &#8211; Mandatory Immediate Imposition of Federal Remedies","Chapters, SOM – Chapter 7, State Operations Manual (SOM), Survey and Certification",1
11978,"Chapter 12 Physicians/Nonphysician Practitioners","100-04 Medicare Claims Processing Manual, Chapters, CMS Manuals, Financial",1
34695,"HIPAA Facility Self-Assessment Checklist for Physical Safeguards","**HIPAA Security Quick Start Tool Kit, Administrative, HIPAA, HIPAA, Regulatory Agencies, Tools, Tools and Templates",1
527257,"Dear Colleague Letter: Ensuring Nondiscrimination Through the Use of Artificial Intelligence and Other Emerging Technologies","HHS, Regulatory Agencies",1
12950,"NCCI Manual, Chapter 2 &#8211; Anesthesia Services Current Procedural Terminology","ICD Codes, NCCI Coding Manual",1
524773,"2024 Therapy Code List and Dispositions","HCPCS, ICD Codes",1
519484,"Section B: Hearing, Speech, and Vision V1.19.1 (Effective October 1, 2024)","*RAI Manual, Chapter 3, MDS 3.0",1
39806,"Congestive Heart Failure","Disease Processes – Quick Look, Staff Development, Tools and Templates",1
451094,"Heart Attack","Disease Processes – Quick Look, Staff Development, Tools and Templates",1
34972,"Stark Law","Compliance and Ethics, Government Initiatives, Regulations",1
499576,"Germs Can Live on Devices &#8211; Infographic","CDC, Infection Control, Regulatory Agencies",1
13185,"Quick Reference Guide to the Bloodborne Pathogens Standard","1. Fact Sheets, Bloodborne Pathogens, OSHA, Safety",1
13182,"Bloodborne Pathogen Exposure Incidents Fact Sheet","1. Fact Sheets, Bloodborne Pathogens, OSHA, Safety",1
13184,"Personal Protective Equipment (PPE) Reduces Exposure to Bloodborne Pathogens Fact Sheet","1. Fact Sheets, 1. Fact Sheets, Bloodborne Pathogens, OSHA, Personal Protective Equipment, Safety",1
33767,"Total Hip / Knee Surgery &#8220;I&#8221; Care Plan","Care Plans, MDS, Tools and Templates",1
525903,"Syringe Recall: Cardinal Health Removes Certain Monoject U-100 mL Insulin Syringe Luer Lock with Tip Cap Soft Packs","FDA, Recalls and Notices, Regulatory Agencies",1
37872,"Adaptive Feeding Equipment Policy","Policies and Procedures, Therapy, Tools and Templates",1
27532,"HIPAA Administrative Simplification: Regulatory Text (Amended 3-26-2013)","*Regulations, HIPAA, Regulatory Agencies",1
34945,"Tips for Success in the OIG Self-Disclosure Protocol","Compliance and Ethics, Government Initiatives, HEAT",1
27733,"F-570 Surety Bond &#8211; Security of Personal Funds","Appendix PP (F-Tags), Survey and Certification",1
34005,"Wandering &#8220;I&#8221; Care Plan","Care Plans, Care Plans, MDS, Social Services, Tools and Templates",1
37987,"Work Order Request IT Policy","Information Technology, Policies and Procedures, Tools and Templates",1
463590,"MDS Section GG: 3-Course Training Series","MDS, Staff Development, Tools and Templates",1
28043,"F-812: Cross-Contamination on the Serving Line (Plan of Correction Packet)","Plan of Correction Packets, Survey Management, Tools and Templates",1
27740,"F-577 Right to Survey Results/Advocate Agency Information","Appendix PP (F-Tags), Survey and Certification",1
472009,"Antipsychotic Use: Late Adopter Report (April 2022)","Dementia/ Anti Psychotic Drugs, Government Initiatives",1
462200,"Get the Facts about Antipsychotic Drugs and Dementia Care &#8211; Resident and Family Education","Dementia/ Anti Psychotic Drugs, Government Initiatives",1
459800,"National Partnership to Improve Dementia Care and Quality Assurance Performance Improvement Presentation (March 23, 2021)","Dementia/ Anti Psychotic Drugs, Government Initiatives",1
41556,"Atypical Antipsychotic Medications: Use in Adults","Dementia/ Anti Psychotic Drugs, Government Initiatives",1
27950,"Tribal Nursing Homes: Best Practices for Patients with Dementia and Alzheimer&#8217;s Disease","Dementia/ Anti Psychotic Drugs, Government Initiatives",1
25682,"S &amp; C Letter 14-22: Focused MDS and Dementia Care Surveys","2021 Fiscal Year and Prior, Dementia/ Anti Psychotic Drugs, Government Initiatives, Quality, Safety, and Oversight (QSO) Letters, Survey and Certification",1
32975,"Nursing Home Employee Satisfaction Survey Data Collection and Analytics Tool","CMP Reinvestment Program, Government Initiatives, Toolkit 2",1
32970,"Nursing Home Employee Satisfaction Survey Implementation Guide","CMP Reinvestment Program, Government Initiatives, Toolkit 2",1
32965,"Nursing Home Staff Competency Assessment for RN, LPN, and LVN &#8211; Electronic Version","CMP Reinvestment Program, Government Initiatives, Toolkit 1",1
23900,"K791 &#8211; Construction, Repair, and Improvement Operations","K Tags, Life Safety Code Survey, Section 7: Operating Features, Survey and Certification",1
32947,"Completion Tracker: Staff Competency Assessments","CMP Reinvestment Program, Government Initiatives, Toolkit 1",1
27847,"F-800 Provided Diet Meets Needs of Each Resident","Appendix PP (F-Tags), Survey and Certification",1
27852,"F-805 Food in Form to Meet Individual Needs","Appendix PP (F-Tags), Survey and Certification",1
33879,"Recent Surgery &#8220;I&#8221; Care Plan","Care Plans, MDS, Tools and Templates",1
33999,"Vision &#8220;I&#8221; Care Plan","Care Plans, MDS, Tools and Templates",1
41156,"Your Guide to Choosing a Nursing Home &#8211; Booklet for Residents &amp; Families","CMS, Medicare, Patient Information, Regulatory Agencies",1
508227,"2024 MDS OBRA Scheduling Tool","MDS 3.0, Supplemental Documents",1
504535,"BIMS and BIMS Summary Score: Stopping and Coding an Incomplete Interview Explainer (Training Video)","MDS, Staff Development, Tools and Templates",1
33287,"Arkansas &#8211; Assisted Living Facility Regulations Level II","Arkansas, Assisted Living State Regulations, State Regulations",1
36685,"§3028 &#8211; Documentation Guide List","Chapters, SOM – Chapter 3, State Operations Manual (SOM), Survey and Certification",1
532205,"Transmittal #13089 &#8211; Manual Updates Regarding Home Health Adjustments and Skilled Nursing Facility, Home Health and Hospice Pricer Information","CMS Manuals, Financial, Transmittals, Transmittals: 100-04 Medicare Claims Processing Manual",1
497932,"Candida Auris Training Presentation Handouts","Common Infections, Infection Control, Infection Control, Nursing, Staff Development, Tools and Templates, Training",1
459111,"UB04 Example Part B Form","Administrative, Business Office, Tools, Tools and Templates",1
27732,"F-569 Notice and Conveyance of Personal Funds","Appendix PP (F-Tags), Survey and Certification",1
451537,"COVID-19 &#8220;I&#8221; Care Plan","Care Plans, MDS, Tools and Templates",1
479650,"2023 MDS OBRA Scheduling Tool","MDS 3.0, Supplemental Documents",1
527182,"National Healthcare Safety Network (NHSN) Patient Safety Component Manual 2025","CDC, Compliance Guidelines, Regulatory Agencies",1
458934,"National Healthcare Safety Network (NHSN) Program Fact Sheet","CDC, Compliance Guidelines, Regulatory Agencies",1
22305,"Core Infection Prevention and Control Practices for Safe Healthcare Delivery in All Settings","CDC, Compliance Guidelines, Regulatory Agencies",1
444401,"Nursing Home Infection Control Worksheet &#8211; Self-Assessment Tool","CDC, Compliance Guidelines, Regulatory Agencies",1
27863,"F-826 Rehab Services &#8211; Physician Order / Qualified Person","Appendix PP (F-Tags), Survey and Certification",1
27862,"F-825 Provide / Obtain Specialized Rehab Services","Appendix PP (F-Tags), Survey and Certification",1
27797,"F-690 Bowel / Bladder Incontinence, Catheter, UTI","Appendix PP (F-Tags), Survey and Certification",1
40054,"Bloodborne Pathogens: OSHA 10 Hour Outreach Training General Industry Presentation","4. Training Programs, Bloodborne Pathogens, OSHA, Safety",1
13543,"Hepatitis B Vaccine Declination","3. Model Plans, Bloodborne Pathogens, OSHA, Safety",1
13195,"Sharps Injury Prevention Program Workbook","3. Model Plans, Bloodborne Pathogens, OSHA, Safety",1
458712,"Antipsychotic Medication Use Report (April 2020)","Dementia/ Anti Psychotic Drugs, Government Initiatives",1
458722,"Antipsychotic Use by State 3rd Quarter 2019 &#8211; 2nd Quarter 2020","Dementia/ Anti Psychotic Drugs, Government Initiatives",1
509672,"Technical Expert Panel (TEP) for Refinement of the Nursing Home (NH) Antipsychotic Medication Measures &#8211; Summary Report","Dementia/ Anti Psychotic Drugs, Government Initiatives",1
450613,"DREAM Toolkit Sleep Environment Improvement Tool","CMP Reinvestment Program, DREAM Toolkit, Government Initiatives",1
479584,"FY 2026 SNF VBP Program December 2024 Quarterly Reports are Now Available","Financial, SNF Value-Based Purchasing Program",1
12216,"A/B Mac Jurisdiction Map","Billing Compliance, Financial, MAC",1
34879,"Criteria for Implementing Section 1128(b)(7) Exclusion Authority","Compliance and Ethics, Government Initiatives, Guidance Documents",1
489602,"iQIES MDS Upload an Assessment User Manual Version 1.0","iQIES, MDS 3.0",1
526842,"Early Alert: Fluid Delivery Set Issue from Medline","FDA, Recalls and Notices, Regulatory Agencies",1
13228,"Religious Candle Safety Fact Sheet","1. Fact Sheet, Fire Protection, OSHA, Safety",1
13230,"Fight the Fire or Flee","1. Fact Sheet, Fire Protection, OSHA, Safety",1
477613,"CDC Clinical Practice Guideline for Prescribing Opioids for Pain &#8212; United States, 2022","CDC, Compliance Guidelines, Regulatory Agencies",1
33682,"Management Standards for Hazardous Waste Pharmaceuticals and Amendment to the P075 Listing for Nicotine &#8211; Final Rule","2020 and Prior Federal Register, Federal Register, Survey and Certification",1
23798,"K163 &#8211; Interior Nonbearing Wall Construction","K Tags, Life Safety Code Survey, Section 1: General Requirements, Survey and Certification",1
13353,"Fundamentals of a Workplace First-Aid Program: OSHA Best Practices Guide","3. Model Plans, Medical and First Aid, OSHA, Safety",1
40295,"Suicide: Assessment and Prevention Basics Training Presentation","Social Services, Social Services, Staff Development, Suicide, Tools and Templates, Training",1
